,best,1000,10000,100000,200000,300000,400000,500000,600000
ar,0.7677718535600088,0.6958979017921914,0.8080444100263623,0.8606775982757953,0.8799285578117192,0.8541684676728993,0.41530347187955524,0.7914107433202656,0.7620151048441545
es,0.8849284392531814,0.8778518489652155,0.8848429119072176,0.9042642661871216,0.9423615412374289,0.9311436675443006,0.7336375593159629,0.9029495003202479,0.8830827846080099
eu,0.8387399677632114,0.8665183651572114,0.8552318425926502,0.890037074263408,0.9237465836585297,0.9026081492759114,0.7404021979923495,0.8640339993600277,0.8386017512878391
fr,0.8838492868229321,0.8843814685813094,0.8593177252156763,0.9267136403865319,0.9426929175909359,0.9303660676241405,0.7354422598130536,0.8961658474209527,0.8813751313366881
hi,0.8096563210562187,0.8691321573060042,0.9251675757522293,0.914262462846051,0.9139560572925951,0.8876470233458431,0.7379814823833923,0.8509322183770357,0.8087554406042532
pt,0.860170855334924,0.9038464450875122,0.8855139912957887,0.9150112260610221,0.935266046638326,0.9129447320044738,0.754113734565152,0.88592407580946,0.8576238678378314
ta,0.7427193528748839,0.8557411442915864,0.911550180923382,0.9072712387809284,0.8974265466952959,0.864181644704955,0.7507296446881562,0.7851033747347191,0.7458153571879493
ur,0.7500079992044796,0.7288638336464935,0.8777559178958603,0.8811670452296916,0.8832720656043589,0.8524717452021392,0.5712137846065176,0.7843951297499835,0.7465748208844816
vi,0.8651064315379363,0.8886894928970351,0.9020703239968958,0.8896906864423163,0.9285276675353642,0.9159197459336793,0.7663398148683639,0.8850751477262783,0.8619579269025275
code,0.20602111694707556,-0.0035299382654452776,0.2881417082456753,0.6341524166350399,0.5670964016520513,0.47783391052488683,0.29445117381027447,0.29307550562198037,0.24412798427867613
