,best,1000,10000,100000,200000,300000,400000,500000,600000
ar,0.3093832020997375,0.2249996069738559,0.35228916907813146,0.29589446430773025,0.32651345291479816,0.3054951544924968,0.14737899306680488,0.3379467361672808,0.4416744544005277
en,0.8637440833170078,0.8125007944881589,0.8494126879651663,0.855962495966798,0.8620107599618153,0.8597429865169107,0.711654544634632,0.8626367722075081,0.8643799939314252
es,0.7042624506126218,0.3095643918962653,0.608364491579392,0.7070842488114302,0.7295029848074228,0.7264461127526882,0.19670866546670093,0.7387432909582761,0.7401007031967409
eu,0.3516988758368069,0.30974604995567606,0.3309983344763398,0.3736137116520237,0.38020355988616084,0.38902611573419027,0.2719752361637402,0.37178034966756957,0.3764187866927593
fr,0.6359129884877703,0.30257080468540726,0.6374251682637659,0.6898892145728063,0.6929372045914922,0.7159624097551794,0.17829076211508815,0.7317073170731706,0.7210279052862546
hi,0.09631245517571123,0.17042337883421077,0.290971238830021,0.3028425017519272,0.24624505536994262,0.21218012046272985,0.10638642624013332,0.3355103854270798,0.22461436022638995
mr,0.2636534839924671,0.3262642740619902,0.31528662420382164,0.28027681660899656,0.31017770597738287,0.31313131313131315,0.29491525423728815,0.3568904593639576,0.2817391304347826
pt,0.6940415523324186,0.3600340818944832,0.6253371217246201,0.6937661668103716,0.7216793852629344,0.70454846252261,0.26269234410004527,0.7104354811656381,0.7220823727885388
ta,0.1266339869281046,0.2146979607541362,0.23554006968641114,0.12728418399495905,0.14340918849291542,0.21980337078651685,0.2004889975550122,0.23205997857907887,0.25746956842493546
ur,0.15854870775347912,0.10206258890469418,0.28446464559838774,0.24440508774754463,0.18251410153102338,0.18084405603618636,0.03860462608508115,0.24996552516662837,0.20256500351370343
vi,0.4113028257064266,0.27103788761302494,0.41825579685278685,0.4418547475045484,0.43970791395302933,0.4466462674243528,0.25103095777429285,0.4574990184530821,0.42987319801359625
zh,0.07523740820019158,0.28513425016371974,0.24184338491959406,0.14768254100842618,0.19185309301693687,0.14576530727137615,0.056708365109899496,0.10984836818709127,0.06954343875639082
