,best,1000,10000,100000,200000,300000,400000,500000,600000
ar,0.1,0.04,0.02,0.04,0.06,0.08,0.02,0.08,0.08
ca,0.2,0.0,0.04,0.04,0.06,0.06,0.0,0.06,0.06
en,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eu,0.06,0.0,0.04,0.06,0.12,0.08,0.08,0.14,0.08
fr,0.34,0.08,0.08,0.18,0.16,0.12,0.0,0.32,0.28
hi,0.1,0.06,0.08,0.06,0.1,0.06,0.04,0.14,0.14
mr,0.02,0.02,0.04,0.06,0.0,0.06,0.02,0.02,0.04
pt,0.18,0.04,0.1,0.08,0.08,0.2,0.0,0.2,0.3
es,0.3,0.06,0.06,0.14,0.2,0.14,0.02,0.26,0.22
ta,0.14,0.0,0.1,0.1,0.08,0.1,0.06,0.14,0.12
ur,0.1,0.06,0.06,0.04,0.04,0.12,0.02,0.08,0.14
vi,0.12,0.04,0.06,0.12,0.04,0.04,0.08,0.16,0.18
zh,0.16,0.04,0.1,0.1,0.08,0.2,0.02,0.14,0.12
