,best,1000,10000,100000,200000,300000,400000,500000,600000
ar,0.06,0.0,0.04,0.06,0.06,0.08,0.0,0.06,0.12
ca,0.14,0.02,0.04,0.08,0.08,0.12,0.08,0.12,0.14
en,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eu,0.1,0.02,0.1,0.06,0.06,0.06,0.0,0.08,0.1
fr,0.26,0.06,0.12,0.08,0.18,0.22,0.0,0.24,0.26
hi,0.1,0.02,0.08,0.02,0.1,0.06,0.08,0.06,0.1
mr,0.04,0.0,0.02,0.02,0.02,0.06,0.02,0.0,0.04
pt,0.2,0.1,0.08,0.12,0.26,0.2,0.06,0.14,0.24
es,0.22,0.06,0.12,0.1,0.16,0.1,0.0,0.2,0.28
ta,0.14,0.02,0.02,0.06,0.06,0.1,0.02,0.06,0.14
ur,0.04,0.02,0.0,0.02,0.02,0.06,0.04,0.06,0.14
vi,0.1,0.06,0.08,0.04,0.1,0.12,0.02,0.1,0.12
zh,0.2,0.08,0.08,0.06,0.12,0.1,0.02,0.16,0.18
