,best,1000,10000,100000,200000,300000,400000,500000,600000
ar,0.26,0.04,0.12,0.08,0.14,0.14,0.04,0.26,0.22
ca,0.3,0.18,0.18,0.1,0.1,0.2,0.1,0.38,0.28
en,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eu,0.12,0.04,0.02,0.08,0.08,0.04,0.1,0.14,0.12
fr,0.32,0.16,0.2,0.12,0.18,0.22,0.02,0.34,0.34
hi,0.18,0.08,0.06,0.1,0.1,0.22,0.06,0.16,0.22
mr,0.02,0.06,0.06,0.0,0.02,0.02,0.04,0.02,0.02
pt,0.32,0.18,0.1,0.08,0.08,0.16,0.04,0.3,0.34
es,0.3,0.1,0.08,0.04,0.1,0.18,0.08,0.3,0.26
ta,0.14,0.12,0.02,0.1,0.12,0.14,0.06,0.1,0.08
ur,0.24,0.04,0.06,0.04,0.16,0.16,0.02,0.14,0.2
