,best,1000,10000,100000,200000,300000,400000,500000,600000
ar,0.29961667625666705,0.46714358260549427,0.18993307350930486,0.17310728970601544,0.008064733241261586,0.3128464246144333,0.4355457900220214,0.228128373545535,0.22461588955512424
es,0.8617445455841659,0.7395695800029423,0.833377052327362,0.8578223394370509,0.8633788768819823,0.977991934210208,0.7055554658756634,0.9191057083348522,0.8687255829100823
eu,0.7035510221084655,0.7098732137532798,0.694490087358742,0.6784894233100442,0.7283442581606329,0.7899272157993937,0.7079022581168188,0.7827408195459812,0.6891380908611333
fr,0.8849994942045725,0.7528010099075273,0.8387236595799504,0.836558391406478,0.9020226137027602,0.9797197595377262,0.7042200372205655,0.9384185971667308,0.8874846998462955
hi,0.1313277031002731,0.6625074801090451,0.2802866913627763,0.1335426558989317,0.18107424864705274,-0.1571454423738666,0.7036245225981403,0.3378818061362388,0.13582289438768877
pt,0.8459365279498663,0.755775256868736,0.803716845831026,0.8406060803298541,0.836501724117776,0.9665219343696799,0.7192125359628285,0.8996415679297691,0.856183124746443
ta,0.19250035020593706,0.6753300847286055,0.3046821400944502,0.17648778920444677,0.22932754176873738,0.19092476286912555,0.7141340938454958,0.3067444453349264,0.14784385080127893
ur,0.32334035508402,0.4839025696458387,0.19722844364502615,0.26379149713547695,0.1920176914766242,0.05680921044457238,0.564283246838537,0.29007936784225796,0.26243942978508006
vi,0.5593699435286393,0.7073668104206132,0.5229352528508682,0.5967173203644659,0.6957730166093774,0.7980773723950756,0.7305665537677707,0.7310286336922851,0.5630037389331323
code,0.6899611298833636,0.15030922277839373,0.4768020765452535,0.6799503017761664,0.72499466298012,0.9579959658021819,0.37680324210945293,0.8134078362609644,0.7863814278164052
