,best,10000,50000,100000,150000,200000,250000
ar,0.4457881244011705,0.2022155991677444,0.2799762457485288,0.2255568894224356,0.2727943501633814,0.1850473488337816,0.2725202511467516
en,0.8548907473714842,0.8185548413323509,0.8615588848852644,0.8633667623588329,0.8600099907048506,0.8595506684297437,0.8636570619039186
es,0.7098428545706285,0.3024027534727012,0.7141992763913414,0.711191605362411,0.7205908935082744,0.7245445995445997,0.715216148358068
eu,0.3674544790525382,0.3166338888313839,0.3600314938086035,0.3611718408395278,0.3737298517860146,0.3806770268642332,0.3809991890497137
fr,0.6881672447482472,0.2902368330154534,0.6993381043577596,0.7146929116919436,0.7254749069007704,0.7092537715517241,0.7060198003754777
hi,0.3109705343765607,0.1668368984737502,0.2205779380258138,0.2115011604309852,0.2678132429561435,0.2040569179533757,0.2745921457840218
mr,0.3533697632058287,0.3375,0.21875,0.2495726495726496,0.323679727427598,0.2213740458015267,0.3238866396761133
pt,0.6822043321620779,0.3567648256208441,0.6776955910814179,0.6880511091140434,0.6880255455029272,0.6845653040435802,0.6953077012097959
ta,0.3291139240506329,0.21630615640599,0.1291666666666666,0.1771720613287904,0.2106490478041197,0.2224,0.1654778887303851
ur,0.2661154772180075,0.109738813525005,0.1452228069328441,0.1338493599285501,0.1443433029908973,0.1196050488599348,0.107542284171671
vi,0.4597988692650223,0.3027656477438136,0.4155240079461214,0.4361675817381412,0.4570058239122987,0.4610890041807283,0.4706866024001574
zh,0.3693190075278297,0.2941575771101254,0.2017793443179887,0.098647746925769,0.2363789277427068,0.1881659198075551,0.1487361244431317
