,best,50000,100000,150000,200000
ar,0.7875762803115025,0.9009378648575916,0.8952737525197364,0.8841607514015735,0.8496147581511452
es,0.8970103942470977,0.9551229737730076,0.9537792415050644,0.9461000036274524,0.9287623109811962
eu,0.8607681233009089,0.9408032055172474,0.9371014441354232,0.9280531219578056,0.901850374724892
fr,0.8981834316962636,0.955456113133652,0.9545956972530376,0.9461227254423952,0.9273396626470972
hi,0.8370649417582474,0.9381687200933468,0.932203734181018,0.9248338049123505,0.8937511051754817
pt,0.8733839561238232,0.9538641724035044,0.9459745163961408,0.936576876162386,0.9101601049012452
ta,0.7778736389899015,0.9293082355712876,0.9148905262972392,0.9011030542794268,0.8614002743026328
ur,0.7962040115693259,0.9095776867160006,0.9040869393786248,0.8949376432239003,0.8620707253752006
vi,0.8819440180494572,0.9444748720433616,0.9411675935769884,0.9338022321566936,0.914288457154866
code,0.3554677478421498,0.6580689142201012,0.6482646807510175,0.6029095709083485,0.5347986750595014
