,best,50000,100000,150000,200000
ar,0.2580146943487063,0.592040755083901,0.141476434764728,0.4492192554484208,0.305491761205566
es,0.9531572073889766,0.8658426327529118,0.8390689306424295,0.975082331709272,0.9766155747404768
eu,0.7071655366641405,0.7203457381476093,0.7174728097658781,0.6672586500604949,0.7506073893280288
fr,0.964025700838541,0.8730634819872797,0.8928764100424595,0.9819845049358448,0.9820410715258562
hi,0.1807237742547331,0.1611875735895623,0.1069050356922665,0.2209899402366325,0.154405964188724
pt,0.9238759917535964,0.8258216840669094,0.8103271256651124,0.961403648786388,0.9650607529963928
ta,0.1957653789070893,0.2411094783163619,0.1624976702573443,0.1315602564127514,0.1701721171842461
ur,0.0865682182816455,0.3935730225293922,0.135843087464993,0.238024204531679,0.1402023553256381
vi,0.5871778275981664,0.6898747788763481,0.6053711657940175,0.872723416864578,0.7924175641735169
code,0.9280880543564658,0.8353286730764723,0.7344489982500978,0.9584622359495156,0.9545144908968828
