,50000,100000,150000,200000
ar,0.6181636726546906,0.5572854291417165,0.5754491017964072,0.5331337325349301
bg,0.47365269461077847,0.4880239520958084,0.5363273453093812,0.5169660678642715
de,0.5091816367265469,0.4750499001996008,0.4934131736526946,0.5850299401197605
el,0.41297405189620756,0.41956087824351296,0.49021956087824353,0.4870259481037924
en,0.7960079840319362,0.8275449101796407,0.8031936127744511,0.829940119760479
es,0.6574850299401198,0.787624750499002,0.7530938123752495,0.7616766467065869
fr,0.6317365269461078,0.7630738522954091,0.7500998003992015,0.7768463073852295
hi,0.33592814371257484,0.35469061876247504,0.37365269461077844,0.33552894211576845
ru,0.5091816367265469,0.5502994011976048,0.5900199600798404,0.5269461077844312
sw,0.3710578842315369,0.5015968063872256,0.37365269461077844,0.4363273453093812
th,0.3459081836327345,0.38003992015968063,0.35548902195608784,0.36227544910179643
tr,0.4363273453093812,0.4173652694610778,0.41477045908183635,0.4313373253493014
ur,0.42694610778443115,0.38223552894211577,0.4315369261477046,0.3962075848303393
vi,0.5610778443113772,0.7229540918163673,0.6345309381237525,0.5598802395209581
zh,0.5387225548902196,0.47045908183632734,0.564870259481038,0.5351297405189621
