,best,1000,100000,200000,300000,400000,600000
ar,0.0114291368775202,0.1947043937566874,0.2789352579497303,0.3568747964255873,0.2634427520568374,0.3008503792231671,0.1377541674299322
en,0.8394129660893703,0.8011197709559408,0.8504083570750237,0.8463017302438531,0.8432011645201101,0.8409083714775915,0.6936520041880486
es,0.6897495822259495,0.304712783171521,0.6596787638254724,0.7071290944123315,0.7278070780757098,0.7015486560941107,0.194896967989263
eu,0.3518200592172377,0.3233300563977854,0.3555959267581393,0.3549286297880521,0.3644519883608147,0.3714392151993045,0.2655535888833117
fr,0.6930645258646707,0.2669873528058691,0.6971749500964238,0.7215388326097444,0.7283981383569856,0.7150161463939722,0.1744657120831898
hi,0.328683483376415,0.1600106284044108,0.2971676631040397,0.3648211026280151,0.3943653244379266,0.2142244835881978,0.0838446524782908
mr,0.2808988764044944,0.3471400394477317,0.3069767441860465,0.3197492163009404,0.3633491311216429,0.350943396226415,0.3147540983606557
pt,0.6483428652623352,0.3662079357106982,0.6699553801575027,0.6853248491186402,0.7115405051184868,0.6665535471886833,0.2505521854098615
ta,0.1148447469162058,0.221976401179941,0.2220058422590068,0.2112728630085853,0.2175602175602175,0.1619391438886024,0.2008212019410227
ur,0.0636656850371616,0.1182834475297511,0.2086873279885126,0.305193206989909,0.2761805586996876,0.2999520006981716,0.0616903146206045
vi,0.4299274692109234,0.2700426496787777,0.4460253940022726,0.393437862950058,0.3847557067494946,0.4528153430046717,0.2520007009755242
zh,0.23226464902209,0.2263478757858639,0.1778921410957435,0.2684586152562795,0.1536379928315412,0.1387998016201025,0.0511442601686278
