,best,1000,100000,200000,300000,400000,600000
ar,0.7485479228333876,0.5765500222988404,0.7412501979332551,0.7923474824242598,0.8503372571416976,0.8141708131162474,0.3245170764027928
es,0.9000854201202356,0.8264558662241556,0.8760387781226537,0.8775472863870384,0.9325595293483998,0.9159479992699056,0.7655169749327324
eu,0.8475544178544678,0.789215971177586,0.8422762929279642,0.822412743292778,0.911602529451166,0.8887458922991073,0.7852424951794695
fr,0.892215872256145,0.8286643741879418,0.8224132995768025,0.8171335424220719,0.9290409443992436,0.9120577603319296,0.7707448213102832
hi,0.8399029618493518,0.7742143223775341,0.9414473228820393,0.926124882004284,0.9078100127082662,0.8784784315632826,0.7858795072797813
pt,0.8874830761228711,0.8517796391703372,0.8907257742157364,0.8850604520864731,0.9247132779312096,0.910441720196813,0.8019729281913888
ta,0.7635442169686086,0.7329889249304394,0.9207987712589344,0.8213037213714222,0.8781437241833614,0.8494184723438126,0.8008791271033777
ur,0.7540281783157906,0.5997273051159615,0.8203013249205479,0.8655775484313518,0.8503000505954748,0.8193233213170519,0.564094839268376
vi,0.8848824247974646,0.8164357981292201,0.9199774194819096,0.9173973572887558,0.9286001787517932,0.9102037221830068,0.8164000560935364
code,0.2063779308956208,-0.006142156754237,0.5335418398793683,0.4193375596348148,0.3721457221686059,0.3307907032537872,0.1441906137543849
