,best,1000,10000,100000,200000,300000,400000,500000,600000
ar,0.011429136877520224,0.19470439375668744,0.2494906437396142,0.27893525794973034,0.35687479642558734,0.2634427520568374,0.3008503792231671,0.2494906437396142,0.13775416742993224
en,0.8394129660893703,0.8011197709559408,0.8412396976717688,0.8504083570750237,0.8463017302438531,0.8432011645201101,0.8409083714775915,0.8412396976717688,0.6936520041880486
es,0.6897495822259495,0.30471278317152106,0.5718613630357293,0.6596787638254724,0.7071290944123315,0.7278070780757098,0.7015486560941107,0.5718613630357293,0.19489696798926304
eu,0.3518200592172377,0.32333005639778545,0.33538723574792106,0.3555959267581393,0.3549286297880521,0.3644519883608147,0.37143921519930456,0.33538723574792106,0.26555358888331176
fr,0.6930645258646707,0.26698735280586916,0.625277617833347,0.6971749500964238,0.7215388326097444,0.7283981383569856,0.7150161463939722,0.625277617833347,0.1744657120831898
hi,0.328683483376415,0.1600106284044108,0.25902007038168523,0.29716766310403975,0.36482110262801515,0.39436532443792666,0.21422448358819787,0.25902007038168523,0.08384465247829084
mr,0.2808988764044944,0.34714003944773175,0.3248407643312102,0.3069767441860465,0.3197492163009404,0.36334913112164297,0.35094339622641507,0.3248407643312102,0.3147540983606557
pt,0.6483428652623352,0.3662079357106982,0.6186504927975739,0.6699553801575027,0.6853248491186402,0.7115405051184868,0.6665535471886833,0.6186504927975739,0.25055218540986157
ta,0.11484474691620587,0.221976401179941,0.2629043358568479,0.22200584225900682,0.2112728630085853,0.21756021756021754,0.1619391438886024,0.2629043358568479,0.20082120194102274
ur,0.06366568503716168,0.11828344752975117,0.18192390762585148,0.2086873279885126,0.305193206989909,0.2761805586996876,0.29995200069817163,0.18192390762585148,0.06169031462060457
vi,0.42992746921092345,0.2700426496787777,0.4515515515515515,0.4460253940022726,0.39343786295005806,0.38475570674949466,0.45281534300467174,0.4515515515515515,0.25200070097552424
zh,0.23226464902209004,0.22634787578586396,0.2875191092907208,0.17789214109574353,0.26845861525627956,0.1536379928315412,0.1387998016201025,0.2875191092907208,0.05114426016862782
