,best,1000,10000,100000,200000,300000,400000,500000,600000
ar,0.7982610521339455,0.576056554173082,0.8217777118043603,0.7599657443991376,0.7970737578588654,0.8729597902899762,0.8469310507760922,0.8217777118043603,0.3412600489180571
es,0.9132107537452,0.8187821441180729,0.9021186965192772,0.8870478788964618,0.8784806202836467,0.9398690372176983,0.9268181734980354,0.9021186965192772,0.7511111667590147
eu,0.8547648513276578,0.7738759317985562,0.8630744348919028,0.8510204107100747,0.8201175984485058,0.9051737639809532,0.8968286018219238,0.8630744348919028,0.767097647908496
fr,0.9063556591308791,0.8164070472426702,0.8794273286139003,0.8366116554027779,0.81697937821399,0.9373607208996326,0.923263343210451,0.8794273286139003,0.7554511203606017
hi,0.8513197550000455,0.7611994603534233,0.9140032443476614,0.9453280995960677,0.9261956465861777,0.9148752978255655,0.8937899053900413,0.9140032443476614,0.7678215783363199
pt,0.8954417045694729,0.8381452362697953,0.8924637549644923,0.8996449375883913,0.8868763813369175,0.9317793381229639,0.9217251860806555,0.8924637549644923,0.7826427507742384
ta,0.7524432293885207,0.7130098356076388,0.9033043339005637,0.9204356322429255,0.8123742241311449,0.8590950848528681,0.8591164445640452,0.9033043339005637,0.780933527514641
ur,0.7672835359697352,0.5882775883267717,0.8574973591005755,0.8307835232931208,0.8646752063275006,0.8551811291256867,0.8382115932530776,0.8574973591005755,0.5630365248728605
vi,0.8920801071596203,0.7871396492112835,0.9054844794190012,0.9262442057299449,0.9189440016438415,0.932926517744461,0.9196195045152007,0.9054844794190012,0.7971729446759863
code,0.30984505046718924,0.018295064027536223,0.24152902253067737,0.555213749221967,0.4608393300588296,0.41169947760539677,0.38213023403117763,0.24152902253067737,0.17855050421487317
