,best,1000,10000,100000,200000,300000,400000,500000,600000
ar,0.24,0.0,0.1,0.1,0.18,0.2,0.18,0.12,0.12
ca,0.22,0.18,0.14,0.16,0.16,0.2,0.3,0.2,0.04
en,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eu,0.16,0.06,0.02,0.12,0.08,0.08,0.2,0.02,0.02
fr,0.22,0.16,0.2,0.26,0.18,0.26,0.24,0.2,0.12
hi,0.2,0.02,0.06,0.16,0.12,0.16,0.22,0.08,0.0
mr,0.04,0.04,0.14,0.08,0.04,0.06,0.06,0.1,0.06
pt,0.22,0.04,0.16,0.14,0.12,0.2,0.28,0.18,0.1
es,0.2,0.1,0.08,0.2,0.16,0.16,0.24,0.14,0.06
ta,0.18,0.08,0.08,0.1,0.1,0.04,0.08,0.04,0.04
ur,0.2,0.04,0.12,0.16,0.12,0.18,0.08,0.16,0.08
