,best,1000,100000,200000,300000,400000,600000
ar,0.16,0.06,0.08,0.1,0.18,0.16,0.06
ca,0.18,0.04,0.1,0.08,0.16,0.2,0.06
en,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eu,0.14,0.06,0.06,0.1,0.06,0.1,0.04
fr,0.22,0.16,0.18,0.32,0.24,0.2,0.06
hi,0.14,0.06,0.06,0.04,0.1,0.12,0.06
mr,0.04,0.02,0.02,0.04,0.06,0.08,0.02
pt,0.32,0.1,0.14,0.18,0.2,0.22,0.14
es,0.22,0.06,0.2,0.12,0.12,0.16,0.06
ta,0.06,0.06,0.06,0.0,0.04,0.06,0.12
ur,0.12,0.06,0.06,0.06,0.06,0.1,0.0
vi,0.2,0.08,0.1,0.22,0.1,0.24,0.08
zh,0.22,0.06,0.1,0.18,0.14,0.28,0.0
