,best,1000,10000,100000,200000,300000,400000,500000,600000
ar,0.07732963182123158,0.45764738790728027,0.20336389524369144,0.17661540251242494,0.027245285609964708,0.6783455489122933,0.10527148139919301,0.20336389524369144,0.3567989181729592
es,0.8877425720025007,0.7278951952642871,0.8263371075001531,0.8891758452282004,0.9909055437637502,0.9930159371994538,0.9963117875232048,0.8263371075001531,0.7344603847972667
eu,0.7461708550151475,0.7034509055570256,0.6446292682002535,0.7650706667660045,0.7698991294492485,0.9274078191026028,0.9572099344594721,0.6446292682002535,0.7462306939427295
fr,0.894947903886726,0.7277562431704262,0.8288730771598178,0.9055218128824285,0.9928996421063703,0.9952067725161966,0.9967818874405713,0.8288730771598178,0.7374995700768638
hi,0.11690534920301635,0.6575195598372725,0.2867400471007393,0.3584994911719873,0.062265987502547006,0.6694536048134566,-0.01555141901877482,0.2867400471007393,0.7453641473283651
pt,0.9021583355954911,0.7607999162400215,0.7956789263919697,0.8757396698294073,0.98930086257406,0.9902747937677018,0.9971252370308226,0.7956789263919697,0.7594829687811373
ta,0.08810576453985579,0.5777684053487327,0.20177562696363358,0.22620661800774217,0.001060148684983678,0.15802542966054497,0.048555954341656965,0.20177562696363358,0.7563240184167068
ur,0.12969617079939416,0.46682603287519636,0.14638002468080785,0.2329833400285429,-0.14366642070830749,0.5740286020938629,0.2282142673861359,0.14638002468080785,0.5563147831410441
vi,0.8657382286085843,0.6650025150004333,0.4904369850531566,0.7539744943647078,0.9280920376463067,0.9415618978175778,0.9405143067550152,0.4904369850531566,0.7738888605599381
code,0.9538502559095123,0.13506660814889643,0.3767884900801939,0.5182254078862969,0.9840692125087237,0.9901534031519933,0.9816267241824012,0.3767884900801939,0.22576000458228382
