,1000,100000,200000,300000,400000,600000
ar,0.3834331337325349,0.5059880239520959,0.33652694610778444,0.5716566866267465,0.3341317365269461,0.325748502994012
bg,0.33592814371257484,0.46347305389221555,0.4409181636726547,0.48862275449101794,0.49640718562874253,0.3317365269461078
de,0.3602794411177645,0.4560878243512974,0.48223552894211574,0.5259481037924152,0.5375249500998004,0.3383233532934132
el,0.34850299401197604,0.3842315369261477,0.4483033932135729,0.412375249500998,0.4291417165668663,0.3313373253493014
en,0.5872255489021956,0.770059880239521,0.7730538922155689,0.7734530938123753,0.7650698602794411,0.44630738522954094
es,0.47305389221556887,0.5888223552894212,0.6039920159680638,0.7099800399201597,0.7259481037924151,0.3874251497005988
fr,0.4161676646706587,0.7,0.6668662674650698,0.7037924151696606,0.7177644710578842,0.3269461077844311
hi,0.36427145708582837,0.3726546906187625,0.3437125748502994,0.48922155688622754,0.33692614770459084,0.3317365269461078
ru,0.33592814371257484,0.4820359281437126,0.4590818363273453,0.5093812375249501,0.49500998003992014,0.332934131736527
sw,0.33572854291417165,0.41976047904191616,0.468063872255489,0.49261477045908186,0.4493013972055888,0.3377245508982036
th,0.33572854291417165,0.36147704590818364,0.3648702594810379,0.3518962075848303,0.3287425149700599,0.32954091816367265
tr,0.3469061876247505,0.4023952095808383,0.40838323353293415,0.41477045908183635,0.43932135728542915,0.331936127744511
ur,0.3201596806387226,0.3874251497005988,0.33652694610778444,0.506187624750499,0.33912175648702597,0.32914171656686625
vi,0.40738522954091816,0.65249500998004,0.3387225548902196,0.6592814371257485,0.37345309381237524,0.3379241516966068
zh,0.36447105788423156,0.5768463073852296,0.6279441117764472,0.542315369261477,0.3343313373253493,0.33712574850299404
