,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
hi,0.9270150379324423,0.9205756924743712,0.9157721344881519,0.9194173403277366,0.9234704299125875,0.9151421906214525,0.9028556104050972,0.8832982913703188,0.8718932188925896,0.8755163580178221,0.8772518634652103,0.8799077584797659,0.8691321573060042,0.854455684759546,0.8393050369165456,0.8277360722097269,0.8136251228115391,0.8013326684216341,0.7850170011916903,0.7750120222919175,0.7548470425394582,0.7297734250508087,0.7048848340071932,0.6765179941054136,0.6625074801090451
eu,0.9349622000882373,0.924962147611457,0.9196467777927756,0.9223205436191734,0.9269629024934737,0.9213008880643794,0.9084753919280324,0.8892266309736703,0.8751303163052826,0.8771498506845722,0.877618042355013,0.8802998428628798,0.8665183651572114,0.8492259754112665,0.8283050597426271,0.8136584128942225,0.7972272242565355,0.7843888874997761,0.7665796764132569,0.7572885548492683,0.7389365148179158,0.7274501072610096,0.7191416032763255,0.7074988298839555,0.7098732137532798
ur,0.7102034047644006,0.7182378184238962,0.726030410044435,0.7420904779133558,0.76463707815987,0.7687213004489346,0.7622961875047675,0.7454364493226988,0.7333477239520102,0.7405672048532405,0.7445839671560543,0.7482587472920859,0.7288638336464935,0.7071249568198097,0.6875892208386535,0.6740128704111684,0.6567044553944581,0.6442295019343731,0.6213348926818643,0.6080071557875538,0.5789291257811394,0.5528402482661932,0.5298529933934628,0.49608275023061676,0.4839025696458387
es,0.9088370013635741,0.9040114004186665,0.9020911571972796,0.9053213317799043,0.9134631789026201,0.9137472511880048,0.9086625180426512,0.8961162355345593,0.8855738021359595,0.8866226384341409,0.885458179562514,0.8873190999235703,0.8778518489652155,0.8654371505791749,0.8538666286188096,0.8446062907513482,0.833208715901574,0.8250051944805207,0.8134902902398243,0.8083249369222623,0.7925275962225242,0.7792896530512258,0.7683841664629544,0.7509630463282541,0.7395695800029423
ta,0.9451552027759641,0.9350608261316704,0.9283675362437123,0.9286094969363565,0.9282275903271224,0.9140422435961477,0.8962010083361727,0.874776094841331,0.8609046704698614,0.8640572544400138,0.8656284139233309,0.8677424338724554,0.8557411442915864,0.8427258071614022,0.8272998635749175,0.814662895394078,0.7997880023511605,0.7883257571333905,0.7739057211198348,0.7620364360375707,0.7389407314917427,0.7184183067648019,0.7004586771820462,0.6811455969370385,0.6753300847286055
fr,0.9160141171540767,0.9106361579343297,0.9064969119070442,0.9102810989993751,0.9172599850591135,0.9183656206807541,0.9127003244099798,0.9002647649793938,0.8892407058914031,0.8915164875809258,0.8918264842201068,0.894066195738943,0.8843814685813094,0.8722683105625585,0.8605373608282632,0.8507959712281202,0.8399226655677289,0.830460762865398,0.820632189141723,0.8138345293451109,0.7975623756843302,0.7857526884981443,0.7768771237888709,0.7621712557091593,0.7528010099075273
vi,0.9561487799647259,0.9454496200790143,0.9353235439958312,0.9361024210369521,0.9368512679242456,0.9318920153016758,0.921313954928069,0.9055294612330884,0.8937237165583432,0.8956676091850927,0.8960212310359206,0.8981928351651525,0.8886894928970351,0.8763156522666767,0.862010210570699,0.8493665175536709,0.8357540764989171,0.8251627138563284,0.807652885372617,0.7974217626096718,0.7778409557134357,0.761952545800919,0.7444985639696927,0.7220260935942732,0.7073668104206132
ar,0.5068339857190447,0.5122998330436285,0.5341610423034562,0.5722228277292482,0.6440140862286207,0.6792734656191984,0.6876955728025115,0.6946502836682328,0.6999913083512193,0.7115709842445009,0.7140101154948812,0.7207039519527016,0.6958979017921914,0.6664466984946703,0.6446011579416978,0.6311741104770251,0.6129881383079503,0.6049907039219534,0.5900895885699381,0.5858233245297949,0.5602806166693166,0.5424225126515728,0.5261911162554305,0.4911804917086512,0.46714358260549427
pt,0.9448521279774822,0.9373999874296188,0.9345077579523572,0.9373602245409898,0.9412582268944196,0.938937596572204,0.9309887502042339,0.9188006337479883,0.9097561629570459,0.9117694426375005,0.9114434895633733,0.9128946279642809,0.9038464450875122,0.891237747294816,0.8787675778156185,0.8683768986805308,0.8558453757763267,0.8469224720855565,0.8325837110996064,0.8253776976949656,0.8116837871105074,0.7963888827715193,0.7847492909389537,0.7656456413225752,0.755775256868736
code,0.035252920014383654,0.02973744879107283,0.01675323003423323,0.01686841777277358,0.02768490053303243,0.032386103090503264,0.03524036268673574,0.03975168593293023,0.014943503905772131,0.014094328257123914,0.009893427914308561,-0.006891099593168387,-0.0035299382654452776,-0.00013994603189538703,0.00660812455816687,0.010952824078898273,0.01917832307090764,0.02820556762220802,0.02684835639077433,0.021775429804298207,0.022140169693791442,0.029964237920509822,0.05125708668322774,0.08727688194823634,0.15030922277839373
